,question_id,semantic_str,image_id,answer,op_select,op_query,op_filter,op_relate,op_verify,op_choose,op_exist,op_or,op_different,op_and,op_same,op_common,skipped,model_response,correct,timeout,runtime_sec,answer_similarity
1,201640614,"select: dress (12)->relate: person,wearing,s (7) [0]->query: name [1]",n235859,women,1,1,0,1,0,0,0,0,0,0,0,0,False,man,False,False,1.3621692657470703,0.24674174189567566
2,202225914,"select: table (2)->relate: utensil,on top of,s (1) [0]->verify color: black [1]->verify cleanliness: clean  [1]->and:  [2, 3]",n336443,no,1,0,0,1,2,0,0,0,0,1,0,0,False,no,True,False,0.9160726070404053,1.0000001192092896
3,2062325,"select: surfer (1)->filter: wet [0]->verify rel: wetsuit,wearing,o (12) [1]",n179136,yes,1,0,1,0,1,0,0,0,0,0,0,0,False,yes,True,False,0.8442137241363525,0.9999999403953552
4,201303229,select: chair (13)->filter vposition: bottom [0]->query: height [1],n518912,short,1,1,1,0,0,0,0,0,0,0,0,0,False,tall,False,False,0.3368368148803711,0.5797072649002075
5,201902997,"select: desk (1)->relate: device,on top of,s (8) [0]->query: name [1]",n435808,keyboard,1,1,0,1,0,0,0,0,0,0,0,0,False,keyboard,True,False,0.867483377456665,1.000000238418579
6,20567512,"select: airplane (11)->relate: _,flying above,o (10) [0]->query: name [1]",n414992,ocean,1,1,0,1,0,0,0,0,0,0,0,0,False,moon,False,False,2.8893916606903076,0.38604217767715454
7,20136592,select: pants (3)->query: color [0],n446242,red,1,1,0,0,0,0,0,0,0,0,0,0,False,light_blue,False,False,0.3498530387878418,0.3616381585597992
8,20602803,select: ground (10)->choose color: brown|blue [0],n168412,brown,1,0,0,0,0,1,0,0,0,0,0,0,False,brown,True,False,0.3578615188598633,1.0000001192092896
9,201079951,"select: window (0)->filter: open [0]->relate: _,around,s (12) [1]->query: name [2]",n23181,drapes,1,1,1,1,0,0,0,0,0,0,0,0,False,mirror,False,False,2.6112756729125977,0.18680302798748016
10,201079952,"select: window (0)->relate: _,around,s (12) [0]->query: name [1]",n23181,drapes,1,1,0,1,0,0,0,0,0,0,0,0,False,mirror,False,False,2.5635147094726562,0.18680302798748016
11,20982537,"select: table (9)->relate: person,standing at,s (6) [0]->query: name [1]",n52544,woman,1,1,0,1,0,0,0,0,0,0,0,0,False,man,False,False,0.7821981906890869,0.35008004307746887
12,201079958,"select: bed (1)->relate: drapes,to the right of,s (12) [0]->exist: ? [1]",n23181,yes,1,0,0,1,0,0,1,0,0,0,0,0,False,yes,True,False,0.7608418464660645,0.9999999403953552
