Wall time,Step,Value
1690201896.9459312,1,1.0614999532699585
1690201977.2094738,500,1.409999966621399
1690202057.7479804,1000,1.4292999505996704
1690202138.373811,1500,1.3401999473571777
1690202218.977355,2000,1.2508000135421753
1690202324.9564219,2500,1.183899998664856
1690202405.5564475,3000,1.1138999462127686
1690202486.120492,3500,1.0532000064849854
1690202566.847988,4000,0.9984999895095825
1690202671.267385,4500,0.9323999881744385
1690202751.384248,5000,0.8973000049591064
1690202831.6238136,5500,0.859499990940094
1690202911.8845375,6000,0.8101999759674072
1690203021.369521,6500,0.7950000166893005
1690203109.7128212,7000,0.7397000193595886
1690203196.7027335,7500,0.7250000238418579
1690203283.254008,8000,0.6837000250816345
1690203392.9249923,8500,0.6771000027656555
1690203478.24951,9000,0.6635000109672546
1690203564.168275,9500,0.6370999813079834
1690203650.6161394,10000,0.6164000034332275
1690203757.994548,10500,0.6169000267982483
1690203843.384972,11000,0.5942999720573425
1690203926.8806894,11500,0.5896999835968018
1690204011.2450628,12000,0.5763000249862671
1690204120.0740685,12500,0.5584999918937683
1690204205.7653286,13000,0.5437999963760376
1690204290.2213857,13500,0.5346999764442444
1690204374.356093,14000,0.5396000146865845
1690204482.58393,14500,0.5293999910354614
1690205931.9935522,1,1.0614999532699585
1690206028.5345314,14500,0.5293999910354614
1690206108.9484742,15000,0.5142999887466431
1690206189.632446,15500,0.5063999891281128
1690206271.4740305,16000,0.498199999332428
1690206373.0628467,16500,0.4846000075340271
1690206453.099466,17000,0.4999000132083893
1690206532.715236,17500,0.48190000653266907
1690206612.1690876,18000,0.48080000281333923
1690206712.1417458,18500,0.4828999936580658
1690206791.5109813,19000,0.4596000015735626
1690206870.1112988,19500,0.4697999954223633
1690206948.9530442,20000,0.46129998564720154
1690207049.791504,20500,0.45980000495910645
1690207128.128394,21000,0.4629000127315521
1690207206.447106,21500,0.44699999690055847
1690207285.2367795,22000,0.46059998869895935
1690207384.2398167,22500,0.4465999901294708
1690207460.9703035,23000,0.4431000053882599
1690207537.4204943,23500,0.43050000071525574
1690207613.9256167,24000,0.427700012922287
1690207712.677987,24500,0.4316999912261963
1690207789.4303122,25000,0.42750000953674316
1690207865.917182,25500,0.4230000078678131
1690207942.493026,26000,0.41670000553131104
1690208041.1129003,26500,0.4262999892234802
1690208117.6381269,27000,0.41780000925064087
1690208194.2933862,27500,0.41530001163482666
1690208270.8418312,28000,0.42239999771118164
1690208369.368626,28500,0.4101000130176544
1690208445.8361955,29000,0.4115999937057495
1690208522.243028,29500,0.4226999878883362
1690208598.745094,30000,0.41659998893737793
1690208697.1620767,30500,0.41119998693466187
1690208773.9372838,31000,0.4083000123500824
1690208850.4925086,31500,0.40779998898506165
1690208927.2480254,32000,0.4133000075817108
1690209025.8423867,32500,0.40470001101493835
1690209102.508119,33000,0.4129999876022339
1690209178.9050107,33500,0.40400001406669617
1690209255.393097,34000,0.3982999920845032
1690209353.5839283,34500,0.3991999924182892
1690209430.3197484,35000,0.39629998803138733
1690209507.0160186,35500,0.41200000047683716
1690209583.5888276,36000,0.39739999175071716
1690209682.3413658,36500,0.40070000290870667
1690209758.931568,37000,0.40540000796318054
1690209835.5601025,37500,0.38929998874664307
1690209912.4103663,38000,0.39879998564720154
1690210011.1233072,38500,0.3896999955177307
1690210087.4278998,39000,0.384799987077713
1690210163.8135896,39500,0.3846000134944916
1690210240.3431032,40000,0.3837999999523163
1690210338.8444715,40500,0.3930000066757202
1690210415.499524,41000,0.3919000029563904
1690210491.9590213,41500,0.39559999108314514
1690210568.5700104,42000,0.3831999897956848
1690210666.9789631,42500,0.387800008058548
1690210743.3525305,43000,0.37599998712539673
1690210819.8761,43500,0.3853999972343445
1690210896.3841326,44000,0.3734000027179718
1690210994.8340483,44500,0.3790000081062317
1690211071.5328717,45000,0.3799000084400177
1690211148.0759604,45500,0.36579999327659607
1690211224.6436942,46000,0.37400001287460327
1690211323.2874217,46500,0.38670000433921814
1690211399.8787766,47000,0.38690000772476196
1690211476.3483684,47500,0.3677999973297119
1690211552.8529325,48000,0.367900013923645
1690211651.3296802,48500,0.37610000371932983
1690211728.0869944,49000,0.36730000376701355
1690211804.486995,49500,0.36550000309944153
1690211881.0339289,50000,0.3619999885559082
1690211980.0349157,50500,0.3628000020980835
1690212056.5683072,51000,0.38659998774528503
1690212133.410575,51500,0.3630000054836273
1690212209.994665,52000,0.36959999799728394
1690212308.6897562,52500,0.3625999987125397
1690212385.4798417,53000,0.37220001220703125
1690212462.1962962,53500,0.3702000081539154
1690212538.7682114,54000,0.37070000171661377
1690212637.4769194,54500,0.37049999833106995
1690212714.0545616,55000,0.36399999260902405
1690212790.4929543,55500,0.3628999888896942
1690212867.025118,56000,0.3666999936103821
1690212965.3561728,56500,0.3610000014305115
1690213041.7986188,57000,0.375900000333786
1690213118.2958913,57500,0.3668999969959259
1690213194.8027244,58000,0.3573000133037567
1690213293.1793025,58500,0.35530000925064087
1690213369.5453384,59000,0.367000013589859
1690213446.1894403,59500,0.35420000553131104
1690213522.7201867,60000,0.3619000017642975
1690213621.2993648,60500,0.36730000376701355
1690213698.1213207,61000,0.3596000075340271
1690213774.758291,61500,0.36239999532699585
1690213851.1396384,62000,0.37130001187324524
1690213949.9000514,62500,0.36719998717308044
1690214026.6271918,63000,0.3619000017642975
1690214103.2415752,63500,0.3553999960422516
1690214179.5990355,64000,0.3716000020503998
1690214278.162304,64500,0.3621000051498413
1690214354.821694,65000,0.3564999997615814
1690214431.4062002,65500,0.3686999976634979
1690214508.0330446,66000,0.36910000443458557
